Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_11.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
paperTitle                                                                        datasetName                                                                       implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

#phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter                                                                                                                                                                    implemenation of #phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter
$ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning                                                                                                                                                                    implemenation of $ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning
A Stealthy Hardware Trojan Exploiting the Architectural Vulnerability of Deep Learning Architectures: Input Interception Attack (IIA)                                                                                                                                                                    implemenation of A Stealthy Hardware Trojan Exploiting the Architectural Vulnerability of Deep Learning Architectures: Input Interception Attack (IIA)
A Stochastic-Computing based Deep Learning Framework using Adiabatic Quantum-Flux-Parametron SuperconductingTechnology                                                                                                                                                                    implemenation of A Stochastic-Computing based Deep Learning Framework using Adiabatic Quantum-Flux-Parametron SuperconductingTechnology
A Strong and Simple Deep Learning Baseline for BCI MI Decoding                                                                                                                                                                    implemenation of A Strong and Simple Deep Learning Baseline for BCI MI Decoding
A Stronger Baseline For Automatic Pfirrmann Grading Of Lumbar Spine MRI Using Deep Learning                                                                                                                                                                    implemenation of A Stronger Baseline For Automatic Pfirrmann Grading Of Lumbar Spine MRI Using Deep Learning
A Structured Pruning Algorithm for Model-based Deep Learning                                                                                                                                                                    implemenation of A Structured Pruning Algorithm for Model-based Deep Learning
A Study and Comparison of Human and Deep Learning Recognition Performance Under Visual Distortions                                                                                                                                                                    implemenation of A Study and Comparison of Human and Deep Learning Recognition Performance Under Visual Distortions
A Study of BFLOAT16 for Deep Learning Training                                                                                                                                                                    implemenation of A Study of BFLOAT16 for Deep Learning Training
A Study of Complex Deep Learning Networks on High Performance, Neuromorphic, and Quantum Computers                                                                                                                                                                    implemenation of A Study of Complex Deep Learning Networks on High Performance, Neuromorphic, and Quantum Computers
A Study of Deep Learning Colon Cancer Detection in Limited Data Access Scenarios                                                                                                                                                                    implemenation of A Study of Deep Learning Colon Cancer Detection in Limited Data Access Scenarios
A Study of Deep Learning Robustness Against Computation Failures                                                                                                                                                                    implemenation of A Study of Deep Learning Robustness Against Computation Failures
A Study of Deep Learning for Network Traffic Data Forecasting                                                                                                                                                                    implemenation of A Study of Deep Learning for Network Traffic Data Forecasting
A Study of Gradient Variance in Deep Learning                                                                                                                                                                    implemenation of A Study of Gradient Variance in Deep Learning
A Study of the Mathematics of Deep Learning                                                                                                                                                                    implemenation of A Study of the Mathematics of Deep Learning
A Study on Deep Learning Based Sauvegrain Method for Measurement of Puberty Bone Age                                                                                                                                                                    implemenation of A Study on Deep Learning Based Sauvegrain Method for Measurement of Puberty Bone Age
A Study on Stock Forecasting Using Deep Learning and Statistical Models                                                                                                                                                                    implemenation of A Study on Stock Forecasting Using Deep Learning and Statistical Models
A Study on Transferability of Deep Learning Models for Network Intrusion Detection                                                                                                                                                                    implemenation of A Study on Transferability of Deep Learning Models for Network Intrusion Detection
A Study on various state of the art of the Art Face Recognition System using Deep Learning Techniques                                                                                                                                                                    implemenation of A Study on various state of the art of the Art Face Recognition System using Deep Learning Techniques
A Survey From Distributed Machine Learning to Distributed Deep Learning                                                                                                                                                                    implemenation of A Survey From Distributed Machine Learning to Distributed Deep Learning
A Survey Of Regression Algorithms And Connections With Deep Learning                                                                                                                                                                    implemenation of A Survey Of Regression Algorithms And Connections With Deep Learning
A Survey and Empirical Evaluation of Parallel Deep Learning Frameworks                                                                                                                                                                    implemenation of A Survey and Empirical Evaluation of Parallel Deep Learning Frameworks
A Survey of Automated Data Augmentation Algorithms for Deep Learning-based Image Classification Tasks                                                                                                                                                                    implemenation of A Survey of Automated Data Augmentation Algorithms for Deep Learning-based Image Classification Tasks
A Survey of Community Detection Approaches: From Statistical Modeling to Deep Learning                                                                                                                                                                    implemenation of A Survey of Community Detection Approaches: From Statistical Modeling to Deep Learning
A Survey of Deep Learning Applications to Autonomous Vehicle Control                                                                                                                                                                    implemenation of A Survey of Deep Learning Applications to Autonomous Vehicle Control
A Survey of Deep Learning Approaches for OCR and Document Understanding                                                                                                                                                                    implemenation of A Survey of Deep Learning Approaches for OCR and Document Understanding
A Survey of Deep Learning Architectures for Intelligent Reflecting Surfaces                                                                                                                                                                    implemenation of A Survey of Deep Learning Architectures for Intelligent Reflecting Surfaces
A Survey of Deep Learning Methods for Relation Extraction                                                                                                                                                                    implemenation of A Survey of Deep Learning Methods for Relation Extraction
A Survey of Deep Learning Models for Structural Code Understanding                                                                                                                                                                    implemenation of A Survey of Deep Learning Models for Structural Code Understanding
A Survey of Deep Learning Techniques for Autonomous Driving                                                                                                                                                                    implemenation of A Survey of Deep Learning Techniques for Autonomous Driving
A Survey of Deep Learning Techniques for Dynamic Branch Prediction                                                                                                                                                                    implemenation of A Survey of Deep Learning Techniques for Dynamic Branch Prediction
A Survey of Deep Learning Techniques for Mobile Robot Applications                                                                                                                                                                    implemenation of A Survey of Deep Learning Techniques for Mobile Robot Applications
A Survey of Deep Learning Techniques for Neural Machine Translation                                                                                                                                                                    implemenation of A Survey of Deep Learning Techniques for Neural Machine Translation
A Survey of Deep Learning Techniques for Weed Detection from Images                                                                                                                                                                    implemenation of A Survey of Deep Learning Techniques for Weed Detection from Images
A Survey of Deep Learning Techniques for the Analysis of COVID-19 and their usability for Detecting Omicron                                                                                                                                                                    implemenation of A Survey of Deep Learning Techniques for the Analysis of COVID-19 and their usability for Detecting Omicron
A Survey of Deep Learning and Foundation Models for Time Series Forecasting                                                                                                                                                                    implemenation of A Survey of Deep Learning and Foundation Models for Time Series Forecasting
A Survey of Deep Learning for Data Caching in Edge Network                                                                                                                                                                    implemenation of A Survey of Deep Learning for Data Caching in Edge Network
A Survey of Deep Learning for Low-Shot Object Detection                                                                                                                                                                    implemenation of A Survey of Deep Learning for Low-Shot Object Detection
A Survey of Deep Learning for Mathematical Reasoning                                                                                                                                                                    implemenation of A Survey of Deep Learning for Mathematical Reasoning
A Survey of Deep Learning for Scientific Discovery                                                                                                                                                                    implemenation of A Survey of Deep Learning for Scientific Discovery
A Survey of Deep Learning in Sports Applications: Perception, Comprehension, and Decision                                                                                                                                                                    implemenation of A Survey of Deep Learning in Sports Applications: Perception, Comprehension, and Decision
A Survey of Deep Learning-based Object Detection                                                                                                                                                                    implemenation of A Survey of Deep Learning-based Object Detection
A Survey of Deep Learning: From Activations to Transformers                                                                                                                                                                    implemenation of A Survey of Deep Learning: From Activations to Transformers
A Survey of FPGA Based Deep Learning Accelerators: Challenges and Opportunities                                                                                                                                                                    implemenation of A Survey of FPGA Based Deep Learning Accelerators: Challenges and Opportunities
A Survey of Forex and Stock Price Prediction Using Deep Learning                                                                                                                                                                    implemenation of A Survey of Forex and Stock Price Prediction Using Deep Learning
A Survey of Geometric Optimization for Deep Learning: From Euclidean Space to Riemannian Manifold                                                                                                                                                                    implemenation of A Survey of Geometric Optimization for Deep Learning: From Euclidean Space to Riemannian Manifold
A Survey of Graph-based Deep Learning for Anomaly Detection in Distributed Systems                                                                                                                                                                    implemenation of A Survey of Graph-based Deep Learning for Anomaly Detection in Distributed Systems
A Survey of Human Activity Recognition in Smart Homes Based on IoT Sensors Algorithms: Taxonomies, Challenges, and Opportunities with Deep Learning                                                                                                                                                                    implemenation of A Survey of Human Activity Recognition in Smart Homes Based on IoT Sensors Algorithms: Taxonomies, Challenges, and Opportunities with Deep Learning
A Survey of Label-Efficient Deep Learning for 3D Point Clouds                                                                                                                                                                    implemenation of A Survey of Label-Efficient Deep Learning for 3D Point Clouds
A Survey of Large-Scale Deep Learning Serving System Optimization: Challenges and Opportunities                                                                                                                                                                    implemenation of A Survey of Large-Scale Deep Learning Serving System Optimization: Challenges and Opportunities
A Survey of Machine and Deep Learning Methods for Internet of Things (IoT) Security                                                                                                                                                                    implemenation of A Survey of Machine and Deep Learning Methods for Internet of Things (IoT) Security
A Survey of Methods for Low-Power Deep Learning and Computer Vision                                                                                                                                                                    implemenation of A Survey of Methods for Low-Power Deep Learning and Computer Vision
A Survey of Modern Deep Learning based Object Detection Models                                                                                                                                                                    implemenation of A Survey of Modern Deep Learning based Object Detection Models
A Survey of Modern Object Detection Literature using Deep Learning                                                                                                                                                                    implemenation of A Survey of Modern Object Detection Literature using Deep Learning
A Survey of Neural Trojan Attacks and Defenses in Deep Learning                                                                                                                                                                    implemenation of A Survey of Neural Trojan Attacks and Defenses in Deep Learning
A Survey of Online Auction Mechanism Design Using Deep Learning Approaches                                                                                                                                                                    implemenation of A Survey of Online Auction Mechanism Design Using Deep Learning Approaches
A Survey of Robustness and Safety of 2D and 3D Deep Learning Models Against Adversarial Attacks                                                                                                                                                                    implemenation of A Survey of Robustness and Safety of 2D and 3D Deep Learning Models Against Adversarial Attacks
A Survey of Sound Source Localization with Deep Learning Methods                                                                                                                                                                    implemenation of A Survey of Sound Source Localization with Deep Learning Methods
A Survey of research in Deep Learning for Robotics for Undergraduate research interns                                                                                                                                                                    implemenation of A Survey of research in Deep Learning for Robotics for Undergraduate research interns
A Survey of the Usages of Deep Learning in Natural Language Processing                                                                                                                                                                    implemenation of A Survey of the Usages of Deep Learning in Natural Language Processing
A Survey on Active Deep Learning: From Model-driven to Data-driven                                                                                                                                                                    implemenation of A Survey on Active Deep Learning: From Model-driven to Data-driven
A Survey on Active Learning and Human-in-the-Loop Deep Learning for Medical Image Analysis                                                                                                                                                                    implemenation of A Survey on Active Learning and Human-in-the-Loop Deep Learning for Medical Image Analysis
A Survey on Bayesian Deep Learning                                                                                                                                                                    implemenation of A Survey on Bayesian Deep Learning
A Survey on Deep Learning Architectures for Image-based Depth Reconstruction                                                                                                                                                                    implemenation of A Survey on Deep Learning Architectures for Image-based Depth Reconstruction
A Survey on Deep Learning Based Point-Of-Interest (POI) Recommendations                                                                                                                                                                    implemenation of A Survey on Deep Learning Based Point-Of-Interest (POI) Recommendations
A Survey on Deep Learning Event Extraction: Approaches and Applications                                                                                                                                                                    implemenation of A Survey on Deep Learning Event Extraction: Approaches and Applications
A Survey on Deep Learning Hardware Accelerators for Heterogeneous HPC Platforms                                                                                                                                                                    implemenation of A Survey on Deep Learning Hardware Accelerators for Heterogeneous HPC Platforms
A Survey on Deep Learning Methods for Robot Vision                                                                                                                                                                    implemenation of A Survey on Deep Learning Methods for Robot Vision
A Survey on Deep Learning Methods for Semantic Image Segmentation in Real-Time                                                                                                                                                                    implemenation of A Survey on Deep Learning Methods for Semantic Image Segmentation in Real-Time
A Survey on Deep Learning Technique for Video Segmentation                                                                                                                                                                    implemenation of A Survey on Deep Learning Technique for Video Segmentation
A Survey on Deep Learning Techniques for Action Anticipation                                                                                                                                                                    implemenation of A Survey on Deep Learning Techniques for Action Anticipation
A Survey on Deep Learning Techniques for Stereo-based Depth Estimation                                                                                                                                                                    implemenation of A Survey on Deep Learning Techniques for Stereo-based Depth Estimation
A Survey on Deep Learning Techniques for Video Anomaly Detection                                                                                                                                                                    implemenation of A Survey on Deep Learning Techniques for Video Anomaly Detection
A Survey on Deep Learning Toolkits and Libraries for Intelligent User Interfaces                                                                                                                                                                    implemenation of A Survey on Deep Learning Toolkits and Libraries for Intelligent User Interfaces
A Survey on Deep Learning and Explainability for Automatic Report Generation from Medical Images                                                                                                                                                                    implemenation of A Survey on Deep Learning and Explainability for Automatic Report Generation from Medical Images
A Survey on Deep Learning and State-of-the-art Applications                                                                                                                                                                    implemenation of A Survey on Deep Learning and State-of-the-art Applications
A Survey on Deep Learning based Channel Estimation in Doubly Dispersive Environments                                                                                                                                                                    implemenation of A Survey on Deep Learning based Channel Estimation in Doubly Dispersive Environments
A Survey on Deep Learning based Time Series Analysis with Frequency Transformation                                                                                                                                                                    implemenation of A Survey on Deep Learning based Time Series Analysis with Frequency Transformation
A Survey on Deep Learning for Human Mobility                                                                                                                                                                    implemenation of A Survey on Deep Learning for Human Mobility
A Survey on Deep Learning for Localization and Mapping: Towards the Age of Spatial Machine Intelligence                                                                                                                                                                    implemenation of A Survey on Deep Learning for Localization and Mapping: Towards the Age of Spatial Machine Intelligence
A Survey on Deep Learning for Named Entity Recognition                                                                                                                                                                    implemenation of A Survey on Deep Learning for Named Entity Recognition
A Survey on Deep Learning for Neuroimaging-based Brain Disorder Analysis                                                                                                                                                                    implemenation of A Survey on Deep Learning for Neuroimaging-based Brain Disorder Analysis
A Survey on Deep Learning for Polyp Segmentation: Techniques, Challenges and Future Trends                                                                                                                                                                    implemenation of A Survey on Deep Learning for Polyp Segmentation: Techniques, Challenges and Future Trends
A Survey on Deep Learning for Skin Lesion Segmentation                                                                                                                                                                    implemenation of A Survey on Deep Learning for Skin Lesion Segmentation
A Survey on Deep Learning for Theorem Proving                                                                                                                                                                    implemenation of A Survey on Deep Learning for Theorem Proving
A Survey on Deep Learning in Medical Image Analysis                                                                                                                                                                    implemenation of A Survey on Deep Learning in Medical Image Analysis
A Survey on Deep Learning of Small Sample in Biomedical Image Analysis                                                                                                                                                                    implemenation of A Survey on Deep Learning of Small Sample in Biomedical Image Analysis
A Survey on Deep Learning with Noisy Labels: How to train your model when you cannot trust on the annotations?                                                                                                                                                                    implemenation of A Survey on Deep Learning with Noisy Labels: How to train your model when you cannot trust on the annotations?
A Survey on Deep Learning-Based Monocular Spacecraft Pose Estimation: Current State, Limitations and Prospects                                                                                                                                                                    implemenation of A Survey on Deep Learning-Based Monocular Spacecraft Pose Estimation: Current State, Limitations and Prospects
A Survey on Deep Learning-based Architectures for Semantic Segmentation on 2D images                                                                                                                                                                    implemenation of A Survey on Deep Learning-based Architectures for Semantic Segmentation on 2D images
A Survey on Deep Learning-based Non-Invasive Brain Signals:Recent Advances and New Frontiers                                                                                                                                                                    implemenation of A Survey on Deep Learning-based Non-Invasive Brain Signals:Recent Advances and New Frontiers
A Survey on Deep Learning-based Single Image Crowd Counting: Network Design, Loss Function and Supervisory Signal                                                                                                                                                                    implemenation of A Survey on Deep Learning-based Single Image Crowd Counting: Network Design, Loss Function and Supervisory Signal
A Survey on Deep Learning-based Spatio-temporal Action Detection                                                                                                                                                                    implemenation of A Survey on Deep Learning-based Spatio-temporal Action Detection
A Survey on Deep learning based Document Image Enhancement                                                                                                                                                                    implemenation of A Survey on Deep learning based Document Image Enhancement
A Survey on Design Methodologies for Accelerating Deep Learning on Heterogeneous Architectures                                                                                                                                                                    implemenation of A Survey on Design Methodologies for Accelerating Deep Learning on Heterogeneous Architectures
A Survey on Ensemble Learning under the Era of Deep Learning                                                                                                                                                                    implemenation of A Survey on Ensemble Learning under the Era of Deep Learning
A Survey on Evidential Deep Learning For Single-Pass Uncertainty Estimation                                                                                                                                                                    implemenation of A Survey on Evidential Deep Learning For Single-Pass Uncertainty Estimation
A Survey on Graph-Based Deep Learning for Computational Histopathology                                                                                                                                                                    implemenation of A Survey on Graph-Based Deep Learning for Computational Histopathology
A Survey on Green Deep Learning                                                                                                                                                                    implemenation of A Survey on Green Deep Learning
A Survey on Incorporating Domain Knowledge into Deep Learning for Medical Image Analysis                                                                                                                                                                    implemenation of A Survey on Incorporating Domain Knowledge into Deep Learning for Medical Image Analysis
A Survey on Multi-Objective based Parameter Optimization for Deep Learning                                                                                                                                                                    implemenation of A Survey on Multi-Objective based Parameter Optimization for Deep Learning
A Survey on Recent Advances in Named Entity Recognition from Deep Learning models                                                                                                                                                                    implemenation of A Survey on Recent Advances in Named Entity Recognition from Deep Learning models
A Survey on Recent Advances in Sequence Labeling from Deep Learning Models                                                                                                                                                                    implemenation of A Survey on Recent Advances in Sequence Labeling from Deep Learning Models
A Survey on Recent Deep Learning-driven Singing Voice Synthesis Systems                                                                                                                                                                    implemenation of A Survey on Recent Deep Learning-driven Singing Voice Synthesis Systems
A Survey on Societal Event Forecasting with Deep Learning                                                                                                                                                                    implemenation of A Survey on Societal Event Forecasting with Deep Learning
A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models                                                                                                                                                                    implemenation of A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models
A Survey on Text Classification: From Shallow to Deep Learning                                                                                                                                                                    implemenation of A Survey on Text Classification: From Shallow to Deep Learning
A Survey on Uncertainty Reasoning and Quantification for Decision Making: Belief Theory Meets Deep Learning                                                                                                                                                                    implemenation of A Survey on Uncertainty Reasoning and Quantification for Decision Making: Belief Theory Meets Deep Learning
A Survey on Uncertainty Toolkits for Deep Learning                                                                                                                                                                    implemenation of A Survey on Uncertainty Toolkits for Deep Learning
A Survey: Deep Learning for Hyperspectral Image Classification with Few Labeled Samples                                                                                                                                                                    implemenation of A Survey: Deep Learning for Hyperspectral Image Classification with Few Labeled Samples
A Survey: Time Travel in Deep Learning Space: An Introduction to Deep Learning Models and How Deep Learning Models Evolved from the Initial Ideas                                                                                                                                                                    implemenation of A Survey: Time Travel in Deep Learning Space: An Introduction to Deep Learning Models and How Deep Learning Models Evolved from the Initial Ideas
A Synthetic Electrocardiogram (ECG) Image Generation Toolbox to Facilitate Deep Learning-Based Scanned ECG Digitization                                                                                                                                                                    implemenation of A Synthetic Electrocardiogram (ECG) Image Generation Toolbox to Facilitate Deep Learning-Based Scanned ECG Digitization
A System for Real-Time Interactive Analysis of Deep Learning Training                                                                                                                                                                    implemenation of A System for Real-Time Interactive Analysis of Deep Learning Training
A Systematic Approach for MRI Brain Tumor Localization, and Segmentation using Deep Learning and Active Contouring                                                                                                                                                                    implemenation of A Systematic Approach for MRI Brain Tumor Localization, and Segmentation using Deep Learning and Active Contouring
A Systematic Approach to Featurization for Cancer Drug Sensitivity Predictions with Deep Learning                                                                                                                                                                    implemenation of A Systematic Approach to Featurization for Cancer Drug Sensitivity Predictions with Deep Learning
A Systematic Assessment of Deep Learning Models for Molecule Generation                                                                                                                                                                    implemenation of A Systematic Assessment of Deep Learning Models for Molecule Generation
A Systematic Collection of Medical Image Datasets for Deep Learning                                                                                                                                                                    implemenation of A Systematic Collection of Medical Image Datasets for Deep Learning
A Systematic Comparison of Bayesian Deep Learning Robustness in Diabetic Retinopathy Tasks                                                                                                                                                                    implemenation of A Systematic Comparison of Bayesian Deep Learning Robustness in Diabetic Retinopathy Tasks
A Systematic Comparison of Deep Learning Architectures in an Autonomous Vehicle                                                                                                                                                                    implemenation of A Systematic Comparison of Deep Learning Architectures in an Autonomous Vehicle
A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding                                                                                                                                                                    implemenation of A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding
A Systematic Evaluation of Recent Deep Learning Architectures for Fine-Grained Vehicle Classification                                                                                                                                                                    implemenation of A Systematic Evaluation of Recent Deep Learning Architectures for Fine-Grained Vehicle Classification
A Systematic Literature Review on Explainability for Machine/Deep Learning-based Software Engineering Research                                                                                                                                                                    implemenation of A Systematic Literature Review on Explainability for Machine/Deep Learning-based Software Engineering Research
A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research                                                                                                                                                                    implemenation of A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research
A Systematic Review of Deep Learning-based Research on Radiology Report Generation                                                                                                                                                                    implemenation of A Systematic Review of Deep Learning-based Research on Radiology Report Generation
A Systematic Review of Robustness in Deep Learning for Computer Vision: Mind the gap?                                                                                                                                                                    implemenation of A Systematic Review of Robustness in Deep Learning for Computer Vision: Mind the gap?
A Systematic Review on Context-Aware Recommender Systems using Deep Learning and Embeddings                                                                                                                                                                    implemenation of A Systematic Review on Context-Aware Recommender Systems using Deep Learning and Embeddings
A Systematic Survey in Geometric Deep Learning for Structure-based Drug Design                                                                                                                                                                    implemenation of A Systematic Survey in Geometric Deep Learning for Structure-based Drug Design
A Systematic Survey of Deep Learning-based Single-Image Super-Resolution                                                                                                                                                                    implemenation of A Systematic Survey of Deep Learning-based Single-Image Super-Resolution
A Tale of Two Cities: Data and Configuration Variances in Robust Deep Learning                                                                                                                                                                    implemenation of A Tale of Two Cities: Data and Configuration Variances in Robust Deep Learning
A Temporal Kernel Approach for Deep Learning with Continuous-time Information                                                                                                                                                                    implemenation of A Temporal Kernel Approach for Deep Learning with Continuous-time Information
A Thorough Review on Recent Deep Learning Methodologies for Image Captioning                                                                                                                                                                    implemenation of A Thorough Review on Recent Deep Learning Methodologies for Image Captioning
A Time Series Analysis-Based Stock Price Prediction Using Machine Learning and Deep Learning Models                                                                                                                                                                    implemenation of A Time Series Analysis-Based Stock Price Prediction Using Machine Learning and Deep Learning Models
A Topological Deep Learning Framework for Neural Spike Decoding                                                                                                                                                                    implemenation of A Topological Deep Learning Framework for Neural Spike Decoding
A Topological Framework for Deep Learning                                                                                                                                                                    implemenation of A Topological Framework for Deep Learning
A Tour of Unsupervised Deep Learning for Medical Image Analysis                                                                                                                                                                    implemenation of A Tour of Unsupervised Deep Learning for Medical Image Analysis
A Transformer-Based Deep Learning Approach for Fairly Predicting Post-Liver Transplant Risk Factors                                                                                                                                                                    implemenation of A Transformer-Based Deep Learning Approach for Fairly Predicting Post-Liver Transplant Risk Factors
A Transformer-based Deep Learning Algorithm to Auto-record Undocumented Clinical One-Lung Ventilation Events                                                                                                                                                                    implemenation of A Transformer-based Deep Learning Algorithm to Auto-record Undocumented Clinical One-Lung Ventilation Events
